TYPE;EVENTNAME;TEXT/SOUND;ROOM;PERSON;TIME;Telltime;TTC;£
AUDIO;prologuez;LivingRoomPhoneRing;L;NA;0;;;
AUDIO;prologuex;LivingRoomPhonePickUp;L;NA;2;0.63;2.63;
AUDIO;prologuey;LivingRoomPhonePutDown;L;NA;18;0.66;18.66;
AUDIO;prologue7;BedroomGuitarNoodling;B;NA;1;0.63;1.63;
AUDIO;prologue8;BedroomWindowOpen;B;NA;10;0.51;10.51;
AUDIO;prologue9;BedroomWindowLighter;B;NA;13;0.6;13.6;
AUDIO;prologue10;LivingRoomTableFiles;L;NA;6;0.6;6.6;
AUDIO;footstep1;LivingRoomFootstepsHeels;L;NA;22;0.72;22.72;
AUDIO;prologue11;LivingRoomTableZipBag;L;NA;20;0.63;20.63;
AUDIO;footstep2;BedroomFootsteps;B;NA;30;0.48;30.48;
AUDIO;paper1;LivingRoomTablePaperPickUp;L;NA;22;0.78;22.78;
AUDIO;paper2;BedroomPaperShow;B;NA;26;0.48;26.48;
AUDIO;paper22;BedroomPaperShow;B;NA;30;0.48;30.48;
AUDIO;paper222;BedroomPaperShow;B;NA;33;0.48;33.48;
AUDIO;paper2222;BedroomPaperShow;B;NA;38;0.48;38.48;
AUDIO;paper3;BedroomPaperRip;B;NA;41;0.45;41.45;
AUDIO;paper4;BedroomPaperThrow;B;NA;54;0.51;54.51;
AUDIO;footstep3;BedroomFootstepsHeels;B;NA;76;0.63;76.63;
AUDIO;footstep4;LivingRoomFootstepsHeels;L;NA;79;0.72;79.72;
AUDIO;footstep5;BedroomFootsteps;B;NA;77;0.48;77.48;
AUDIO;footstep6;LivingRoomFootsteps;L;NA;79;0.57;79.57;
AUDIO;footstep7;LivingRoomFootstepsHeels;L;NA;118;0.72;118.72;
AUDIO;footstep8;LivingRoomFootsteps;L;NA;120;0.57;120.57;
AUDIO;audioambience1;KitchenDishwasher;K;NA;0;0.51;0.51;
AUDIO;audioambience2;BedroomTraffic;B;NA;10;0.42;10.42;
AUDIO;audioambience3;BedroomWindowSmoke;B;NA;11;0.54;11.54;
AUDIO;audiointro1;BedroomWindowCough;B;NA;15;0.54;15.54;
AUDIO;audiointro2door;LivingRoomDoorToBedroomOpen;L;NA;25;0.81;25.81;
AUDIO;audiointro3door1;LivingRoomDoorToBedroomClose;L;NA;26;0.84;26.84;
AUDIO;audiointro2;BedroomDoorToLivingRoomOpen;B;NA;25;0.81;25.81;
AUDIO;audiointro3;BedroomDoorToLivingRoomClose;B;NA;26;0.84;26.84;
AUDIO;audiointro2door2;LivingRoomDoorToBedroomOpen;B;NA;76;0.81;76.81;
AUDIO;audiointro3door3;LivingRoomDoorToBedroomClose;B;NA;78;0.84;78.84;
AUDIO;audiointro4;BedroomDoorToLivingRoomOpen;L;NA;76;0.81;76.81;
AUDIO;audiointro5;BedroomDoorToLivingRoomClose;L;NA;78;0.84;78.84;
AUDIO;audiointro6;LivingRoomWardrobeZipper;L;NA;113;0.72;113.72;
AUDIO;audiointro7;LivingRoomExitDoorOpen;L;NA;118;0.66;118.66;
AUDIO;audiointro8;LivingRoomExitDoorCloseSlam;L;NA;120;0.81;120.81;
AUDIO;audiointro9;LivingRoomSofaSitOn;L;NA;123;0.57;123.57;
AUDIO;audiointro10;LivingRoomTVOn;L;NA;126;0.42;126.42;
AUDIO;audiointro11;LivingRoomTVInterview;L;NA;126;0.63;126.63;
AUDIO;phone11;LivingRoomSofaPhoneRing;L;NA;138;0.69;138.69;
AUDIO;bells;BedroomBells;B;NA;32;0.36;32.36;
AUDIO;test1;BedroomGuitarNoodling;B;NA;40;0.63;40.63;
AUDIO;test2;LivingRoomPhoneRing;L;NA;50;;;
AUDIO;test3;LivingRoomPhonePickUp;L;NA;43;0.63;43.63;
AUDIO;test4;LivingRoomPhonePutDown;L;NA;60;0.66;60.66;
AUDIO;test5;BedroomGuitarNoodling;B;NA;65;0.63;65.63;
AUDIO;test6;BedroomWindowOpen;B;NA;85;0.51;85.51;
AUDIO;test7;BedroomWindowLighter;B;NA;72;0.6;72.6;
AUDIO;test8;LivingRoomTableFiles;L;NA;23;0.6;23.6;
AUDIO;test9;LivingRoomFootstepsHeels;L;NA;84;0.72;84.72;
AUDIO;test10;LivingRoomTableZipBag;L;NA;98;0.63;98.63;
AUDIO;doortest1;LivingRoomDoorToBedroomOpen;L;NA;40;0.81;40.81;
AUDIO;doortest2;LivingRoomDoorToBedroomClose;L;NA;43;0.84;43.84;
AUDIO;doortest3;LivingRoomDoorToBedroomOpen;L;NA;67;0.81;67.81;
AUDIO;doortest4;LivingRoomDoorToBedroomClose;L;NA;64;0.84;64.84;
AUDIO;doortest5;LivingRoomExitDoorOpen;L;NA;70;0.66;70.66;
AUDIO;doortest6;LivingRoomExitDoorCloseSlam;L;NA;40;0.81;40.81;
AUDIO;doortest7;LivingRoomExitDoorOpen;L;NA;56;0.66;56.66;
AUDIO;doortest8;LivingRoomExitDoorCloseSlam;L;NA;32;0.81;32.81;
AUDIO;footstep10;BedroomFootstepsHeels;B;NA;40;0.63;40.63;
AUDIO;footstep11;LivingRoomFootstepsHeels;L;NA;53;0.72;53.72;
AUDIO;footstep12;BedroomFootstepsHeels;B;NA;48;0.63;48.63;
AUDIO;footstep13;LivingRoomFootstepsHeels;L;NA;56;0.72;56.72;
AUDIO;test11;KitchenSink;L;NA;20;0.33;20.33;
AUDIO;test12;KitchenSink;L;NA;70;0.33;70.33;
