TYPE;EVENTNAME;TEXT/SOUND;ROOM;PERSON;TIME;Telltime;TTC;£
TEXT;prologue;"""Hey.""";L;Alyv;3;0.18;3.18;
TEXT;prologue1;"""I'll be right over.""";L;Alyv;7;0.63;7.63;
TEXT;prologue2;"""Yeah, no problem. I just gotta… What the?""";L;Alyv;10;1.29;11.29;
TEXT;prologue3;"""What? No, no. I just… Nevermind. I'll be there in ten minutes.""";L;Alyv;13;1.92;14.92;
TEXT;prologue4;"""See you.""";L;Alyv;17;0.3;17.3;
TEXT;prologue5;"""What the hell did he do now?""";L;Alyv;19;0.9;19.9;
AUDIO;prologuez;LivingRoomPhoneRing;L;NA;0;;;
AUDIO;prologuex;LivingRoomPhonePickUp;L;NA;2;0.63;2.63;
AUDIO;prologuey;LivingRoomPhonePutDown;L;NA;18;0.66;18.66;
AUDIO;prologue7;BedroomGuitarNoodling;B;NA;1;0.63;1.63;
AUDIO;prologue8;BedroomWindowOpen;B;NA;10;0.51;10.51;
AUDIO;prologue9;BedroomWindowLighter;B;NA;13;0.6;13.6;
AUDIO;prologue10;LivingRoomTableFiles;L;NA;6;0.6;6.6;
AUDIO;prologue11;LivingRoomTableZipBag;L;NA;20;0.63;20.63;
TEXT;intro1;“What the hell is this?”;B;Alyv;26;0.72;26.72;
TEXT;intro2;“What’s… Oh.”;B;Troma;29;0.39;29.39;
TEXT;intro3;“This is crazy. You know that, right? Nuts.”;B;Alyv;30;1.32;31.32;
TEXT;intro4;“It’s not a problem.”;B;Troma;32;0.63;32.63;
TEXT;intro5;“How can you think that? Living here? ...Just, please tell me you aren’t doing actually pulling through with this.”;B;Alyv;33;3.45;36.45;
TEXT;intro6;“Alyv. We know what we’re doing.”;B;Troma;40;0.99;40.99;
TEXT;intro7;"“It’s not that I don’t trust you, Trom. But you’ve got to realize that what you’re doing puts me at risk too! If my boss found out about this--""";B;Alyv;41;4.32;45.32;
TEXT;intro8;“Oh, please. Go on and on about your job again, please. I’d love to hear more.”;B;Troma;46;2.37;48.37;
TEXT;intro9;“Shit, not again. I’m not talking about my job. I’m talking about us here. If I lose my job, then how’re we going to survive?”;B;Alyv;49;3.78;52.78;
TEXT;intro10;“And you think I don’t know that it’s a risk? You think I haven’t thought about the consequences?”;B;Troma;54;2.94;56.94;
TEXT;intro11;"""Clearly not.""";B;Alyv;57;0.42;57.42;
TEXT;intro12;“This my job, my life. I want to set things right. I want to be able to live like we did back home.”;B;Troma;58;3;61;
TEXT;intro13;“And you think they’ll all just let you?”;B;Alyv;63;1.23;64.23;
TEXT;intro14;“Stay out of it then. I’m not asking you to get involved. This is my business.”;B;Troma;64;2.37;66.37;
TEXT;intro15;“I can’t! I literally can’t! I’m your wife! It’s not like your life is a distant, faraway thing I don’t have to worry about.”;B;Alyv;67;3.75;70.75;
TEXT;intro16;“You want to be in? That’s fine. I bet we can arrange it with the boys.”;B;Troma;73;2.16;75.16;
TEXT;intro17;“God, you are thick sometimes. Okay, I’m going.”;B;Alyv;75;1.44;76.44;
TEXT;intro18;“Where?”;L;Troma;80;0.24;80.24;
TEXT;intro19;“Gerald’s place.”;L;Alyv;81;0.51;81.51;
TEXT;intro20;“Gerald?”;L;Troma;82;0.27;82.27;
TEXT;intro21;“Yeah.”;L;Alyv;83;0.21;83.21;
TEXT;intro22;“That guy from your work?”;L;Troma;84;0.78;84.78;
TEXT;intro23;“Yes. We’ve got an important presentation tomorrow, so we’re going through it tonight.”;L;Alyv;86;2.61;88.61;
TEXT;intro24;“What? You didn’t tell me. Thought you were home for dinner for a change.”;L;Troma;89;2.22;91.22;
TEXT;intro25;“I told you last week.”;L;Alyv;92;0.69;92.69;
TEXT;intro26;“Last week? You weren’t even home last week.”;L;Troma;93;1.35;94.35;
TEXT;intro27;“I was! Thursday! We talked in the evening.”;L;Alyv;95;1.32;96.32;
TEXT;intro28;“Oh, right, that conversation where you were talking to the bathroom mirror while I was cooking leftovers for you. Right, you thought I was paying attention there?”;L;Troma;98;4.92;102.92;
TEXT;intro29;“Yes, I actually did. Would it hurt you to pay attention to me for more than five minutes!”;L;Alyv;104;2.73;106.73;
TEXT;intro30;“It’d help if you were home for more than that!”;L;Troma;107;1.44;108.44;
TEXT;intro31;“I am! Please listen to me so you can actually remember it!”;L;Alyv;110;1.8;111.8;
TEXT;intro32;“You say, as you’re hastily leaving.”;L;Troma;112;1.11;113.11;
TEXT;intro33;“Oh, why do you always make things this complicated?”;L;Alyv;114;1.59;115.59;
TEXT;intro34;“Fuck. Just leave already.”;L;Troma;116;0.81;116.81;
TEXT;intro35;“Fine.”;L;Alyv;117;0.21;117.21;
TEXT;intro36;“See you later.”;L;Troma;118;0.48;118.48;
TEXT;intro37;“Yeah.”;L;Alyv;119;0.21;119.21;
AUDIO;audioambience1;KitchenDishwasher;K;NA;0;0.51;0.51;
AUDIO;audioambience2;BedroomTraffic;B;NA;10;0.42;10.42;
AUDIO;audioambience3;BedroomWindowSmoke;B;NA;11;0.54;11.54;
AUDIO;audiointro1;BedroomWindowCough;B;NA;13;0.54;13.54;
AUDIO;audiointro2door;LivingRoomDoorToBedroomOpen;L;NA;25;0.81;25.81;
AUDIO;audiointro3door1;LivingRoomDoorToBedroomClose;L;NA;26;0.84;26.84;
AUDIO;audiointro2;BedroomDoorToLivingRoomOpen;B;NA;25;0.81;25.81;
